created_at,entry_id,field1,field2,field3,field4,field5,field6
2019-02-20 13:50:28 UTC,252,116.0,22.36,385.0,2.0,0.0,
2019-02-20 14:00:27 UTC,253,128.0,22.42,389.0,2.0,0.0,
2019-02-20 14:10:25 UTC,254,190.0,22.42,386.0,2.0,0.0,
2019-02-20 14:20:24 UTC,255,187.0,22.52,387.0,2.0,0.0,
2019-02-20 14:30:22 UTC,256,189.0,22.58,389.0,2.0,0.0,
2019-02-20 14:40:21 UTC,257,154.0,22.63,386.0,2.0,0.0,
2019-02-20 14:50:19 UTC,258,207.0,22.69,383.0,2.0,0.0,
2019-02-20 15:00:18 UTC,259,293.0,22.74,384.0,2.0,0.0,
2019-02-20 15:10:17 UTC,260,282.0,22.8,384.0,2.0,0.0,
2019-02-20 15:20:15 UTC,261,269.0,22.9,383.0,2.0,0.0,
2019-02-20 15:40:13 UTC,262,302.0,23.07,384.0,2.0,0.0,
2019-02-20 15:50:12 UTC,263,289.0,23.17,384.0,2.0,0.0,
2019-02-20 16:00:11 UTC,264,247.0,23.34,387.0,2.0,0.0,
2019-02-20 16:10:10 UTC,265,269.0,23.44,385.0,2.0,0.0,
2019-02-20 16:20:10 UTC,266,292.0,23.61,388.0,2.0,0.0,
2019-02-20 16:30:09 UTC,267,280.0,23.71,387.0,2.0,0.0,
2019-02-20 16:40:08 UTC,268,226.0,23.77,384.0,2.0,0.0,
2019-02-20 16:50:08 UTC,269,220.0,23.93,387.0,2.0,0.0,
2019-02-20 17:00:07 UTC,270,207.0,23.98,384.0,2.0,0.0,
2019-02-20 17:10:07 UTC,271,157.0,24.09,387.0,2.0,0.0,
2019-02-20 17:20:06 UTC,272,173.0,24.15,386.0,2.0,0.0,
2019-02-20 17:30:05 UTC,273,209.0,24.2,384.0,2.0,0.0,
2019-02-20 17:40:05 UTC,274,204.0,24.26,390.0,2.0,0.0,
2019-02-20 17:50:05 UTC,275,216.0,24.31,388.0,2.0,0.0,
2019-02-20 18:00:04 UTC,276,190.0,24.36,385.0,2.0,0.0,
2019-02-20 18:10:03 UTC,277,244.0,24.36,386.0,2.0,0.0,
2019-02-20 18:20:03 UTC,278,222.0,24.42,387.0,2.0,0.0,
2019-02-20 18:30:02 UTC,279,187.0,24.47,386.0,2.0,0.0,
2019-02-20 18:40:02 UTC,280,198.0,24.53,386.0,2.0,0.0,
2019-02-20 18:50:02 UTC,281,161.0,24.53,386.0,2.0,0.0,
2019-02-20 19:00:01 UTC,282,243.0,24.53,389.0,2.0,0.0,
2019-02-20 19:10:00 UTC,283,214.0,24.58,388.0,2.0,0.0,
2019-02-20 19:20:00 UTC,284,198.0,24.58,388.0,2.0,0.0,
2019-02-20 19:29:59 UTC,285,253.0,24.63,389.0,2.0,0.0,
2019-02-20 19:39:59 UTC,286,187.0,24.63,390.0,2.0,0.0,
2019-02-20 19:49:58 UTC,287,157.0,24.63,386.0,2.0,0.0,
2019-02-20 19:59:58 UTC,288,180.0,24.69,388.0,2.0,0.0,
2019-02-20 20:09:57 UTC,289,164.0,24.69,388.0,2.0,0.0,
2019-02-20 20:19:57 UTC,290,176.0,24.69,385.0,2.0,0.0,
2019-02-20 20:29:56 UTC,291,179.0,24.69,386.0,2.0,0.0,
2019-02-20 20:39:56 UTC,292,191.0,24.69,389.0,2.0,0.0,
2019-02-20 20:49:55 UTC,293,128.0,24.69,390.0,2.0,0.0,
2019-02-20 20:59:55 UTC,294,141.0,24.69,386.0,2.0,0.0,
2019-02-20 21:09:54 UTC,295,112.0,24.69,389.0,2.0,0.0,
2019-02-20 21:19:54 UTC,296,108.0,24.69,388.0,2.0,0.0,
2019-02-20 21:29:53 UTC,297,70.0,24.69,387.0,2.0,0.0,
2019-02-20 21:39:52 UTC,298,65.0,24.69,386.0,2.0,0.0,
2019-02-20 21:49:52 UTC,299,78.0,24.69,389.0,2.0,0.0,
2019-02-20 21:59:51 UTC,300,90.0,24.69,387.0,2.0,0.0,
2019-02-20 22:09:51 UTC,301,57.0,24.69,388.0,2.0,0.0,
2019-02-20 22:19:50 UTC,302,50.0,24.69,385.0,2.0,0.0,
2019-02-20 22:29:49 UTC,303,45.0,24.69,388.0,2.0,0.0,
2019-02-20 22:39:48 UTC,304,24.0,24.63,390.0,2.0,0.0,
2019-02-20 22:49:48 UTC,305,22.0,24.63,386.0,2.0,0.0,
2019-02-20 22:59:47 UTC,306,13.0,24.63,391.0,2.0,0.0,
2019-02-20 23:09:46 UTC,307,0.0,24.58,388.0,2.0,0.0,
2019-02-20 23:19:46 UTC,308,14.0,24.53,387.0,2.0,0.0,
2019-02-20 23:29:44 UTC,309,0.0,24.47,385.0,2.0,0.0,
2019-02-20 23:39:43 UTC,310,0.0,24.42,390.0,2.0,0.0,
