created_at,field1,field2,field3,field4,field5,Time
2018-11-04 05:08:46 UTC,0.0,22.31,381.0,2.0,0.0,04/11/18 00:08:46
2018-11-04 05:18:30 UTC,0.0,22.31,380.0,2.0,0.0,04/11/18 00:18:30
2018-11-04 05:28:15 UTC,0.0,22.25,381.0,2.0,0.0,04/11/18 00:28:15
2018-11-04 05:37:59 UTC,0.0,22.25,381.0,2.0,0.0,04/11/18 00:37:59
2018-11-04 05:47:44 UTC,0.0,22.2,381.0,2.0,0.0,04/11/18 00:47:44
2018-11-04 05:57:29 UTC,0.0,22.2,382.0,2.0,0.0,04/11/18 00:57:29
2018-11-04 06:07:13 UTC,0.0,22.15,381.0,2.0,0.0,04/11/18 01:07:13
2018-11-04 06:16:57 UTC,0.0,22.09,382.0,2.0,0.0,04/11/18 01:16:57
2018-11-04 06:26:42 UTC,0.0,22.09,382.0,2.0,0.0,04/11/18 01:26:42
2018-11-04 06:36:27 UTC,0.0,22.04,382.0,2.0,0.0,04/11/18 01:36:27
2018-11-04 06:46:11 UTC,0.0,22.04,382.0,2.0,0.0,04/11/18 01:46:11
2018-11-04 06:55:55 UTC,0.0,21.98,382.0,2.0,0.0,04/11/18 01:55:55
2018-11-04 07:05:40 UTC,0.0,21.98,382.0,2.0,0.0,04/11/18 02:05:40
2018-11-04 07:15:24 UTC,0.0,21.93,382.0,2.0,0.0,04/11/18 02:15:24
2018-11-04 07:25:09 UTC,0.0,21.93,382.0,2.0,0.0,04/11/18 02:25:09
2018-11-04 07:34:53 UTC,0.0,21.93,382.0,2.0,0.0,04/11/18 02:34:53
2018-11-04 07:44:38 UTC,0.0,21.88,382.0,2.0,0.0,04/11/18 02:44:38
2018-11-04 07:54:22 UTC,0.0,21.88,382.0,2.0,0.0,04/11/18 02:54:22
2018-11-04 08:04:06 UTC,0.0,21.88,385.0,2.0,0.0,04/11/18 03:04:06
2018-11-04 08:13:51 UTC,0.0,21.82,382.0,2.0,0.0,04/11/18 03:13:51
2018-11-04 08:23:35 UTC,0.0,21.82,380.0,2.0,0.0,04/11/18 03:23:35
2018-11-04 08:33:20 UTC,0.0,21.82,381.0,2.0,0.0,04/11/18 03:33:20
2018-11-04 08:43:04 UTC,0.0,21.82,381.0,2.0,0.0,04/11/18 03:43:04
2018-11-04 08:52:49 UTC,0.0,21.82,381.0,2.0,0.0,04/11/18 03:52:49
2018-11-04 09:02:33 UTC,0.0,21.77,384.0,2.0,0.0,04/11/18 04:02:33
2018-11-04 09:12:18 UTC,0.0,21.82,380.0,2.0,0.0,04/11/18 04:12:18
2018-11-04 09:22:02 UTC,0.0,21.77,381.0,2.0,0.0,04/11/18 04:22:02
2018-11-04 09:31:47 UTC,0.0,21.77,381.0,2.0,0.0,04/11/18 04:31:47
2018-11-04 09:41:31 UTC,0.0,21.71,379.0,2.0,0.0,04/11/18 04:41:31
2018-11-04 09:51:15 UTC,0.0,21.71,379.0,2.0,0.0,04/11/18 04:51:15
2018-11-04 10:01:00 UTC,0.0,21.71,380.0,2.0,0.0,04/11/18 05:01:00
2018-11-04 10:10:45 UTC,0.0,21.71,378.0,2.0,0.0,04/11/18 05:10:45
2018-11-04 10:20:29 UTC,0.0,21.71,380.0,2.0,0.0,04/11/18 05:20:29
2018-11-04 10:30:14 UTC,0.0,21.71,381.0,2.0,0.0,04/11/18 05:30:14
2018-11-04 10:39:58 UTC,14.0,21.66,378.0,2.0,0.0,04/11/18 05:39:58
2018-11-04 10:49:43 UTC,6.0,21.71,380.0,2.0,0.0,04/11/18 05:49:43
2018-11-04 10:59:27 UTC,7.0,21.66,381.0,2.0,0.0,04/11/18 05:59:27
2018-11-04 11:09:11 UTC,18.0,21.71,380.0,2.0,0.0,04/11/18 06:09:11
2018-11-04 11:18:56 UTC,41.0,21.71,380.0,2.0,0.0,04/11/18 06:18:56
2018-11-04 11:28:41 UTC,40.0,21.71,379.0,2.0,0.0,04/11/18 06:28:41
2018-11-04 11:38:25 UTC,61.0,21.71,376.0,2.0,0.0,04/11/18 06:38:25
2018-11-04 11:48:10 UTC,73.0,21.71,376.0,2.0,0.0,04/11/18 06:48:10
2018-11-04 11:57:54 UTC,86.0,21.77,380.0,2.0,0.0,04/11/18 06:57:54
2018-11-04 12:07:39 UTC,102.0,21.82,379.0,2.0,0.0,04/11/18 07:07:39
2018-11-04 12:17:24 UTC,136.0,21.88,379.0,2.0,0.0,04/11/18 07:17:24
2018-11-04 12:27:08 UTC,141.0,21.93,381.0,2.0,0.0,04/11/18 07:27:08
2018-11-04 12:36:53 UTC,153.0,21.98,379.0,2.0,0.0,04/11/18 07:36:53
2018-11-04 12:46:38 UTC,112.0,21.98,379.0,2.0,0.0,04/11/18 07:46:38
2018-11-04 12:56:23 UTC,83.0,22.04,380.0,2.0,0.0,04/11/18 07:56:23
